time,artist,song,album,album_label,album_year,note,url
9:39 AM,Dinah Washington,Since My Man Has Gone and Went Away,"The Fabulous Miss D! - The Keynote, Decca and Mercury Singles (1943-1953)",Hip-O Select,2010,A whole lot of fabulous singing on this box set.,https://spinitron.com//KDHX/pl/5359734/Sound-Salvation
9:42 AM,Ana Moura,Fado Alado,Desfado,emarcy,2013,This is how they break hearts in Portugal.,https://spinitron.com//KDHX/pl/5359734/Sound-Salvation
9:47 AM,The Budos Band,Shattered Winds,Burnt Offering,Daptone,2014,Powerhouse instrumental funk and other styles.,https://spinitron.com//KDHX/pl/5359734/Sound-Salvation
9:50 AM,ZZ Top,36-22-36,XXX,RCA,1999,That monstrous thick sound of the Top!,https://spinitron.com//KDHX/pl/5359734/Sound-Salvation
9:52 AM,Jubal Lee Young,Texas Girls,On a Dark Highway,Jubal Lee Young,2014,Steve Young's son can rock!,https://spinitron.com//KDHX/pl/5359734/Sound-Salvation
7:01 AM,Bruce Springsteen,The Ties that Bind,The River,Columbia,1980,"I remember my first girlfriend gave me this record for my birthday, or maybe Christmas. That was a long time ago.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:05 AM,Dave Edmunds,Three Time Loser,Twangin,Atlantic,1981,"After Rockpile broke up, Edmunds released one more pretty good record, then fell off a bit.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:07 AM,The Monkees,She Makes Me Laugh,Good Times!,Rhino,2016,Rivers Cuomo wrote this cool song.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:11 AM,The Proclaimers,Spinning Around in the Air,Like Comedy,429,2013,"These guys can make their experiences seem so universal and so specific at the same time - they are often brilliant, and this is one of their best songs.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:14 AM,Neko Case,Last Lion of Albion,Hell-On,Anti-,2018,"I don't know what she's singing about, but I love the way it feels.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:18 AM,The Kinks,Something Better Beginning,Kinda Kinks,Reprise,1965,The mastery of Ray Davies songwriting can be mind boggling.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:21 AM,Fairground Attraction,Perfect,The First of a Million Kisses,RCA,1988,"Thirty years ago, this was one of my favorite songs - still is. Singer Eddi Reader went on to a solo career that sold only marginally better than this band.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:25 AM,Rosanne Cash,Hold On,Rhythm & Romance,Columbia,1985,"This was Rosanne's rockin'est country record, though this song is relatively quiet.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:29 AM,The Del McCoury Band,I Fell In Love,Del McCoury Still Sings Bluegrass,MCCOURY Music,2018,"A song written and originally done by Rosanne's step-sister Carlene Carter. Del McCoury will play live at Vintage Vinyl next Friday, July 6, at 4 pm.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:32 AM,John Prine,The Lonesome Friends of Science,The Tree of Forgiveness,Oh Boy Records,2018,Nobody can turn phrases like John Prine.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:37 AM,They Might Be Giants,By the Time You Get This,I Like Fun,Idlewild,2018,"Heartbreaking, the way people in 937 thought the world would be better by 1937.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:41 AM,Dr. Dog,Go Out Fighting,Critical Equation,We Buy Gold,2018,One of the most consistently good rock bands of the last dozen or so years.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:45 AM,Bachman-Turner Overdrive,Stonegates,Bachman-Turner Overdrive II,Mercury,1973,"I think these guys are the least hip band I really, really like.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:51 AM,Patti Smith,Kimberly,Horses,Arista,1975,"A million miles away from the preceding song, but only two years apart.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:55 AM,The Mystery Of The Bulgarian Voices,Rano Ranila,Boocheemish,Prophecy,2018,"Somebody's gotten the band back together, or more likely recreated the incredible choir from those very old recordings, and added instrumentation. Still beautiful.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:01 AM,Ray Barretto,7,Que Viva La Musica,fania,1992,"Originally released in 1965, the salsa James Bond tribute.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:03 AM,"Eddy ""The Chief"" Clearwater",I Was Gone,Welcome to the Club,Federal,2004,The Chief passed away very recently - this was one of his Chuck Berry influenced numbers.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:05 AM,Etta James,Tough Lover,R&B Dynamite,Flair,1987,"From her very young days, back in 1956.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:08 AM,"Bobby ""Blue"" Bland",That Did It,"The Duke Recordings, Vol. 3: That Did It!",Geffen,1996,One of the greatest singers ever!,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:12 AM,Bettye LaVette,At The Mercy Of A Man,Take Another Little Piece of My Heart,Varese Sarabande,1970,Going back to her younger days.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:14 AM,Candi Staton,He Called Me Baby,Evidence: The Complete Fame Record Masters,Kent,2011,Another deep soul classic from 1970.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:19 AM,Ashley Monroe,Wild Love,Sparrow,Warner Bros.,2018,Wonderful new album from this country singer.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:23 AM,Jill Scott,Can't Wait,Woman,Atlantic,2015,I don't think I gave this record enough attention a few years back - it's really good.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:28 AM,Brad Mehldau Trio,Ten Tune,Seymour Reads the Constitution,Nonesuch,2018,Mehldau remains one of the finest piano players of his generation - and one of the most famous jazz players alive.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:39 AM,10Cc,Flying Junk,The Original Soundtrack,Mercury,1975,"One of these days, these guys are gonna get the critical reappraisal they seriously deserve - so many great songs.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:43 AM,The Cars,Why Can't I Have You,Heartbeat City,Elektra Records,1983,I almost forgot how lovely this song was until I heard it the other day for the first time in who knows how long?,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:47 AM,Jackie Greene,Crazy Comes Easy,The Modern Lives Vol 2,Amplified,2018,I'm always happy to hear new music from this guy.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:51 AM,Buffalo Tom,In the Ice,Quiet and Peace,Schoolkids,2018,Chock full of really good rock songs.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
8:54 AM,The Rolling Stones,Please Go Home,Flowers,ABKCO,1967,"There are so many hits on this album, this Bo Diddley-ish song is almost overlooked.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:01 AM,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'n' Roll),High Voltage,Atlantic,1976,Bagpipes!,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:06 AM,The Frost,Sweet Lady Love,Live at the Grande Ballroom,Vanguard,2001,Detroit Rock City!,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:11 AM,The Easybeats,Can't Find Love,The Definitive Anthology,Repertoire Records,1968,"Should have played Angus & Malcolm Young's older brother right next to them, but at least it's close.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:14 AM,Moby Grape,He,Wow,Sundazed,1968,You don't hear this one every day. But maybe you should.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:19 AM,Elvis Presley,Blue Moon,Elvis Presley,RCA,1956,"Young Elvis, with still the whole world ahead of him.",https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:21 AM,Freddy Fender,Dime (Tell Me),Roots of Tejano Rock: Canciones de Mi Barrio,Arhoolie Records,1993,Most people don't remember that Freddie Fender was a Tejano rock'n'roll star before his country hits.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:24 AM,Los Texmaniacs,La Chicharronera (The Pork Cracklings Maker),Cruzando Borders,Smithsonian Folkways,2018,Speaking of music from the border.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:27 AM,Orquesta Akokán,Mambo Rapidito,Orquesta Akokán,Daptone Records,2018,Magnificent Cuban music.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:31 AM,Tommy Halloran,"She Loves Me, Too",Just as Good as Feeling Good,self-released,2018,St. Louis native with a wide range of musical influences from long ago.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:34 AM,I'm With Her,Game to Lose,See You Around,Rounder,2018,One of the year's most pleasant combinations.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:39 AM,Tanya Tucker,Wait 'Til Daddy Finds Out,Tanya Tucker's Greatest Hits,MCA,1978,Things are not good in this household.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:42 AM,Tim O'Brien,Grandma's Hands,Where The River Meets The Road,Howdy Skies,2017,Nice take on the Bill Withers classic.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:46 AM,Mary Gauthier,The War After the War,Rifles and Rosary Beads,In The Black,2018,Husbands and wives and the effects of war.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:50 AM,Guided By Voices,That's Good,Space Gun,Guided By Voices Inc.,2018,I wonder if Robert Pollard ever goes to sleep without having had a single song idea all day.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
9:53 AM,Barrence Whitfield & the Savages,i'll Be Home Someday,Soul Flowers of Titan,Bloodshot Records,2018,Ending with a rock'n'roll explosion - I guess that's in honor of the upcoming holiday where they blow things up for amusement.,https://spinitron.com//KDHX/pl/5316402/Sound-Salvation
7:02 AM,The Fleshtones,Swinging Planet X,Face of the Screaming Werewolf,Yep Roc,2021,They've been making these great garage rock sounds for more than 40 years and they're better than ever!,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:04 AM,The Airport 77s,Bad Mom!,Rotation,self,2021,Another excellent song from this band of power pop retrograders.,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:08 AM,Nick Waterhouse,Silver Bracelet,Promenade Blue,Innovative Leisure,2021,Waterhouse is having some fun on this new set of rootsy rock'n'roll. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:11 AM,Bob B. Soxx & The Blue Jeans,Why Do Lovers Break Each Other's Hearts?,Greatest Hits,Master Classics Records,2010,A deep and enjoyable cut from the Philles label. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:14 AM,Jackie Wilson,3 Days 1 Hour 30 Minutes,Soul Galore,Brunswick,1966,A delightful cut from Jackie Wilson that had escaped my notice until a few days ago. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:16 AM,The Turtles,We'll Meet Again,All the Singles,"Flo & Eddie, Inc.",2016,"I assume they learned this song the same way I did, over the closing of Dr. Strangelove. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:18 AM,Rosie Flores,Red Red Robin,The Bottle Let Me Down - Songs for Bumpy Wagon Rides,Bloodshot Records,2002,This is just adorable. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:22 AM,Loretta Lynn,Yesterday Will Come Again Tonight,Entertainer of the Year,MCA Nashville,2016,You never know what you might find on a 48-year-old Loretta Lynn album. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:25 AM,Dolly Parton,Highway Headin' South,Love Is Like a Butterfly,RCA Records Label Nashville,1974,Check out the album cover for this record - it's kinda freaky.,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:27 AM,Melissa Carper,Arkansas Hills,Daddy's Country Gold,self,2021,"Melissa Carper, of the Carper Family, tells of driving through St. Louis on her way south. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:31 AM,Lake Street Dive,Anymore,Obviously,Nonesuch,2021,"Man, Rachael Price can sing!",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:35 AM,Elvis Presley,Always On My Mind,Elvis (Fool),RCA,1973,"Yeah. I've been on an Elvis kick - when you hear him sing this, how can you blame me?",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:40 AM,The Blind Boys of Alabama,Walk In Jerusalem,I Brought Him With Me,Yell,2003,"It doesn't matter who is singing lead, these guys deliver the goods every single time over the last 80 years or so. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:44 AM,Katie Webster,"Lord, I Wonder",The Swamp Boogie Queen,Alligator,1988,I'd almost forgotten this talented blues piano player/singer. My mistake. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:48 AM,"Clarence ""Gatemouth"" Brown",Jelly Jelly Jelly,Gate's On the Heat,Verve,1993,"One of the most unique musicians in American history, he loved blues, jazz, and country, and he played guitar as well as fiddle. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:53 AM,Dale Watson,Tienes Cabeza de Palo,"Live at the Big T Roadhouse, Chicken S#!+ Bingo Sunday",Red House,2016,A little Tex-Mex cumbia from a country band. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:56 AM,Willie Nelson,Just in Time,That's Life,Legacy Recordings,2021,Willie's latest tribute to Sinatra is the work of a master singer. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:01 AM,Television,Guiding Light,Marquee Moon,Rhino/Elektra,1977,I still think this is one of the greatest records in history. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:06 AM,Tori Amos,Cornflake Girl,Under the Pink,Atlantic,1994,"I think I kind of knew this song at the time, but it's only in the last couple years that I realized how good it is.",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:12 AM,Har Mar Superstar,You're Not Alone,Roseville,Love OnLine,2021,The guy with the weird nom de plume knows his way around a melody. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:15 AM,Elizabeth & The Catapult,pop the placebo,"sincerely, e",Compass Records,2021,She has such a delightful way with words and putting them to music. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:21 AM,Jimbo Mathus & Andrew Bird,Poor Lost Souls,These 13,Wegawam Music Co. & Southern Broadcast,2021,Mathus and Bird meet in a musical world neither one has inhabited on their own - oddball folk music. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:25 AM,Gibson Brothers,Sundown and Sorrow,They Called It Music,Compass Records,2013,These bluegrass mainstays always did catch my ear. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:29 AM,Joe Ely,BBQ & Foam,Live at Liberty Lunch,MCA,1990,"For a little while, with David Grissom on guitar, Joe Ely's band was among the hottest in the world. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:33 AM,The Band,Daniel and the Sacred Harp,Stage Fright (Deluxe Remix 2020),CAPITOL CATALOG MKT (C92),2020,I believe I've mentioned before how incredible this new mix sounds. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:37 AM,Bruce Springsteen,Over The Rise,Tracks,Columbia/Legacy,1998,An outtake from that time when Bruce released two albums at once - but it's actually a pretty good cut. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:41 AM,Johnny Adams,Nowhere To Go,I Won't Cry,Rounder,1991,One of the greatest singers of the 20th Century.,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:44 AM,Aretha Franklin,Mr. Ugly,Laughing On the Outside (Expanded Edition),Columbia,1963,Young Aretha made some pretty cool music before she hit it big a few years later. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:47 AM,Chris Connor,Slap That Bass,"Chris Connor sings The George Gershwin Almanac Of Songs, Vol. 1 (Original Album)",Gotcha!,2013,A little Gershwin to get the juices flowing. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:50 AM,Watkins Family Hour,Brokedown Palace,Watkins Family Hour,Family Hour Records,2015,I didn't know this was a Grateful Dead song until now. Learn something new every day. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
8:55 AM,YEE LOI,Be Like Johnny,Be Like Johnny - Single,2560909,2021,Young Chinese punk rock fans pay tribute to their guitar hero Johnny Ramone. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:00 AM,? and the Mysterians,Ten O'clock (Live),Do You Feel It Baby?,Norton Records,1998,A cool live record from this ultimate Tex-Mex garage band. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:04 AM,Nena,99 luftballons,Nena,CBS,1983,I haven't heard the German version in decades. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:08 AM,Richard Hell & The Voidoids,Time,Destiny Street Complete,Omnivore Recordings,2021,I kick myself for not remembering to play this right after the Television song earlier. It's one of Hell's best songs. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:13 AM,Menahan Street Band,Devil's Respite,The Exciting Sounds of Menahan Street Band,Daptone Records,2021,Masterful instrumental soul band. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:17 AM,Selwyn Birchwood,She's a Dime,Living In a Burning House,Alligator,2021,"Birchwood's new album is a corker of blues, soul, and talent. ",https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:22 AM,Miko Marks,We Are Here,Our Country,Redtone Records,2021,African-American country singer comes back after about 15 years with some powerful new songs. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:26 AM,Curtis Salgado,Always Say I Love You (At the End of Your Goodbyes),Damage Control,Alligator Records,2021,Good advice from a great singer. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:30 AM,Ben Webster,Ben's Blues,Ben & Teddy,Sackville,2001,The great tenor saxophonist teamed up with Teddy Wilson's brilliant piano playing. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:36 AM,Dinah Washington,I Was Telling Him About You,The Complete Dinah Washington On Mercury Vol. 7 (1961),Verve Reissues,1990,I fall in love with just about anything I hear from this fantastic singer. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:40 AM,Eddie Floyd,I've Just Been Feeling Bad,Rare Stamps (Reissue),Stax,1969,Just plain rock solid Stax soul. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:43 AM,Rex Garvin & The Mighty Cravers,Queen of the Go-Go,The Soul of Capitol Records: Rare & Well-Done,Capitol,2011,There are some pretty cool obscure records lurking out there on the internet waiting to be heard. That's where I found this one. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:45 AM,Jimmy Reed,Honey Where Are You Going ?,How High the Moon,Nagel-Heyer,2018,There was nobody else like Jimmy Reed. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:50 AM,Here Lies Man,Come Inside,Ritual Divination,Riding Easy,2020,Members of Antibalas formed this rockin' combo a few years back. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
9:53 AM,David Miner,Answering Machine,Silver Valley,Potholes,2021,Terrific country song about failures to communicate. ,https://spinitron.com//KDHX/pl/13051029/Sound-Salvation
7:00 AM,Led Zeppelin,Black Dog,BBC Sessions,Time Warner Records,1971,The BBC Sessions kick major butt!,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:06 AM,Mott the Hoople,Momma's Little Jewel,All the Young Dudes,Columbia,1972,Cowbell!,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:10 AM,The Hold Steady,I Hope This Whole Thing Didn't Frighten You,Teeth Dreams,Razor & Tie,2014,Running up the score and stocking up like it's World War Four.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:14 AM,Poi Dog Pondering,Living With the Dreaming Body,The Best of Poi Dog Pondering (The Austin Years),COLUMBIA/LEGACY,2011,Still one of my all-time favorite songs.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:18 AM,Michael Fracasso,Loretta,A Pocketful of Rain,Lone Star Records,2004,Michael Fracasso exists in the perfect nexus between New York grit-rock and Texas singer-songwriter.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:21 AM,Kevin Gordon,Crazy Mixed-Up World,O Come Look at the Burning,Crowville Collective,2005,These singer-songwriter rocks hard!,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:28 AM,Billy Branch,Baby Let Me Butter Your Corn,Blues Shock,blind pig,2014,As exhilarating as the blues can get.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:33 AM,Tampa Red,Sweet Little Angel,"That's All Right - When The Sun Goes Down, Volume 4",Bluebird RCA,2002,I often forget Tampa Red lasted into the electric blues era.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:36 AM,The Holmes Brothers,Lickety Split,Brotherhood,Alligator Records,2013,I can't get enough of this gospel-drenched tale of splitting.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:41 AM,Al Holliday and the East Side Rhythm Band,Bad Luck Woman,"Made It Through the Mill, Again",Al Holliday,2013,St. Louis r&b artist with a kick-ass band and tight arrangements.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:44 AM,Digital Underground,Packet Man,Sex Packets,Tommy Boy,1990,"I'm not sure if you just add water or not, but these packets give you what you want.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:49 AM,Hank Crawford,Don't Cry Baby,From the Heart,Rhino Atlantic,1962,Just one of the great alto saxophone tones in the world.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:53 AM,John Nemeth,I Can't Help Myself,Memphis Grease,Blue Corn,2014,Very talented soul singer teams with the Bo-Keys for a delightful record.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:01 AM,Built to Spill,Jokerman,"A Tribute To Bob Dylan In the 80s, Vol. One",ATO,2014,"Pretty cool, putting the BtS Neil Young vibe to a Dylan classic.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:07 AM,The Baseball Project,They Don't Know Henry,3rd,Yep Roc,2014,Incredible song written from the point of view of the great Henry Aaron.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:11 AM,The Pelvic Girdles,Red Shoes White Socks,Sad Hammer,self,2011,I did like this late lamented St. Louis band when they were around.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:15 AM,Bruce Springsteen,Devil's Arcade,Magic,Columbia,2007,A really good song on one of the higher points of Springsteen's later years.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:20 AM,Bruce Springsteen,Dream Baby Dream,High Hopes,Columbia,2014,I remember seeing Springsteen's solo show a few years back and my jaw hitting the floor when I realized he was covering Suicide.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:25 AM,Television,Venus,Marquee Moon,Elektra Records,1977,Television undoubtedly shared a few bills with Suicide back in the day.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:29 AM,Temples,Sand Dance,Sun Structures,Heavenly Recordings,2014,"I know nothing about this band, but they are ambitious and powerful as all git out.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:36 AM,The Loud Family,Nice When I Want Something,Attractive Nuisance,Alias Records,2000,"There aren't a lot of Scott Miller songs that lasted five minutes, but when it starts ""Spending nights on carpets like the La Brea tar pits,"" you've got to keep going until you run out of ideas.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:41 AM,Ramones,11-Jul,Pleasant Dreams,sire,1981,"Ah, Joey Ramone, the romantic who loved the tragic girl group songs. And cheap food.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:46 AM,Kim Lenz and the Jaguars,Chocolate Eyes,It's All True!,Riley Records,2009,A talented rockabilly revivalist.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:48 AM,The Secret Sisters,The Pocket Knife,Put Your Needle Down,Universal,2014,T Bone Burnett gives these women the best backing band he can assemble - results are great.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
8:52 AM,Judith Owen,You Are Not My Friend,Ebb & Flow,Twanky Records,2014,"Speaking of backing bands, how about Russ Kunkel on drums, Lee Sklar on bass, and Waddy Wachtel on guitar?",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:00 AM,Charlie Parker All-Stars,'Round Midnight,Yardbird Suite: The Ultimate Charlie Parker,Rhino,1997,I love this take on a tune that's been done a million times since.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:03 AM,Nellie Lutcher & Her Rhythm,Lake Charles Boogie,Boogieology: The Boogie Woogy Masters,Great Voices of the Century,2009,This little ditty was named after the city where she was born.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:06 AM,Roy Buchanan,My Baby Says She's Gonna Leave Me,Sweet Dreams: The Anthology,Polydor,1992,I like when Roy Buchanan gets seriously heavy like this.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:09 AM,Ry Cooder,Red Cat Till I Die,My Name Is Buddy,Nonesuch,2007,A song about America for the Fourth of July.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:12 AM,Richard Thompson,Dad's Gonna Kill Me,Live at the BBC,Universal,2011,Harrowing tale of life in the war zone.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:18 AM,Spirogyra,The Duke of Beaufort,St. Radigunds,Akarma,1971,Exquisite English folk prog rock.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:26 AM,The Bulgarian State Radio & Television Female Vocal Choir,Atmadja Duma Strachilu,"Le Mystere Des Voix Bulgares, Vol. 2",4AD,1988,Still possibly the most beautiful music on the planet.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:31 AM,Harry Nilsson,Down to the Valley,The Point!,RCA,1970,"I'm pretty sure this was the first animated film I ever saw that made me think cartoons could be something more than just for kids. Mind you, I was 12 at the time, so I didn't realize how cool some of the older cartoons already were.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:34 AM,Jenny Lewis,Bad Man's World,acid tongue,Warner Brothers.,2008,"She's got a new record coming out soon, but this old song just caught my ear again after a long time.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:37 AM,Big Star,Try Again,#1 Record,Ardent,1972,A masterpiece.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:41 AM,The Creation,How Does It Feel to Feel,Complete Collection Vol. 1: Making Time,Retroactive,1998,An absolute monster of a record - these guys deserve to have huge statues in the Rock'n'Roll Hall of Fame.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:44 AM,The Jellybricks,Home,Youngstown Tune-Up,Pop Detective,2014,A modern band that rocks hard with melody and enthusiasm.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:48 AM,The Safaris,Image of a Girl,Hard to Find 45s on CD Vol. 1 1955-1960,Eric Records,1996,"That clock just keeps on ticking, keeping him awake dreaming of a girl he's never even met. Doo wop songs can be weird.",https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:50 AM,The Jam,Town Called Malice,The Gift,Polydor,1982,Paul Weller shamelessly ripped off Motown and came up with a gem.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
9:53 AM,Candi Staton,I'm Gonna Hold On (To What I Got This Time),Evidence: The Complete Fame Records Masters,Kent/FAME,2011,Ending up with a gorgeous Muscle Shoals soul ballad.,https://spinitron.com//KDHX/pl/5363562/Sound-Salvation
7:00 AM,Ann Peebles,Walk Away,99 Lbs,Fat Possum / Hi Records,2014,"The pride of Kinloch, MO. ",https://spinitron.com//KDHX/pl/11849410/Sound-Salvation
7:03 AM,The Budos Band,Dusterado,Long in the Tooth,Daptone Records,2020,"This New York soul instrumental band basically has one trick that they use over and over, but it's so effective you don't mind that they're doing it again. ",https://spinitron.com//KDHX/pl/11849410/Sound-Salvation
7:06 AM,Alicia Keys,Gramercy Park,ALICIA,RCA Records Label,2020,One of those perennial Grammy winners who actually deserves her acclaim. ,https://spinitron.com//KDHX/pl/11849410/Sound-Salvation
